セグメント,会社名（正式）,会社名（略称）,理由,商談件数,受注件数,最大受注額,最終接点日,取引ステータス,業種
B,司開発 株式会社,司開発 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-20,未接触,"測量会社, 建設コンサル"
B,土屋産業 株式会社,土屋産業 株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-10-14,未接触,建設コンサル
B,大日コンサルタント 株式会社,大日コンサルタント 株式会社,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-01-29,未接触,測量会社
B,太栄コンサルタンツ 株式会社,太栄コンサルタンツ 株式会社,"商談あり（ステージ: None, 未受注）",1,0,,2025-12-05,未接触,"測量会社, 建設コンサル"
B,岐阜県土地改良事業団体連合会,岐阜県土地改良事業団体連合会,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-13,未接触,建設コンサル
B,岡本測量設計 株式会社,岡本測量設計 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-27,未接触,建設コンサル
B,愛徳コンサルタント 株式会社,愛徳コンサルタント 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-01-15,未接触,測量会社
B,早川都市計画 株式会社,早川都市計画 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-04,未接触,"測量会社, 建設コンサル"
B,東海測量 株式会社,東海測量 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-26,未接触,測量会社
B,松岡測量設計 株式会社,松岡測量設計 株式会社,"商談あり（ステージ: None, 未受注）",2,0,,2026-02-17,未接触,"測量会社, 建設コンサル"
B,株式会社 アイエスシイ,株式会社 アイエスシイ,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-03-03,未接触,建設コンサル
B,株式会社 アイコ,株式会社 アイコ,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-04,未接触,建設コンサル
B,株式会社 サニー設計事務所,株式会社 サニー設計事務所,"商談あり（ステージ: None, 未受注）",2,0,,2025-12-02,接触済,測量会社
B,株式会社 サンクリエイト,株式会社 サンクリエイト,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-20,未接触,"測量会社, 建設コンサル"
B,株式会社 シーエス,株式会社 シーエス,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-03-10,未接触,測量会社
B,株式会社 ジオ,株式会社 ジオ,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-03-10,未接触,建設コンサル
B,株式会社 ジオフォーラム,株式会社 ジオフォーラム,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-06,未接触,測量会社
B,株式会社 ダイム技術サービス,株式会社 ダイム技術サービス,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-04,未接触,建設コンサル
B,株式会社 ナガサクコンサルタント,株式会社 ナガサクコンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",3,0,,2026-03-06,未接触,"測量会社, 建設コンサル"
B,株式会社 プラスデザイン,株式会社 プラスデザイン,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-27,未接触,"測量会社, 建設コンサル"
B,株式会社 メイホーエンジニアリング,株式会社 メイホーエンジニアリング,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-03-13,未接触,測量会社
B,株式会社 ユニオン,株式会社 ユニオン,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-13,未接触,測量会社
B,株式会社 中測技研,株式会社 中測技研,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-03-12,未接触,測量会社
B,株式会社 中部テクノス,株式会社 中部テクノス,"商談あり（ステージ: None, 未受注）",1,0,,2025-12-02,未接触,建設コンサル
B,株式会社 二友組,株式会社 二友組,"商談あり（ステージ: None, 未受注）",1,0,,2025-12-02,未接触,"測量会社, 建設コンサル"
B,株式会社 信榮企画,株式会社 信榮企画,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-06,未接触,"測量会社, 建設コンサル"
B,株式会社 共同技術コンサルタント,株式会社 共同技術コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-20,未接触,"測量会社, 建設コンサル"
B,株式会社 名邦テクノ,株式会社 名邦テクノ,"商談あり（ステージ: None, 未受注）",2,0,,2026-03-12,未接触,"測量会社, 建設コンサル"
B,株式会社 大増コンサルタンツ,株式会社 大増コンサルタンツ,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-05,未接触,"測量会社, 建設コンサル"
B,株式会社 富士測量,株式会社 富士測量,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-02-06,未接触,測量会社
B,株式会社 富士測量事務所,株式会社 富士測量事務所,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-02-06,未接触,"測量会社, 建設コンサル"
B,株式会社 小嶋コンサルタント,株式会社 小嶋コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-20,未接触,"測量会社, 建設コンサル"
B,株式会社 山川測量設計コンサル,株式会社 山川測量設計コンサル,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-01-16,未接触,建設コンサル
B,株式会社 川崎測量,株式会社 川崎測量,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-02-27,未接触,"測量会社, 建設コンサル"
B,株式会社 愛河調査設計,株式会社 愛河調査設計,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-25,未接触,"測量会社, 建設コンサル"
B,株式会社 新日,株式会社 新日,"商談あり（ステージ: None, 未受注）",1,0,,2025-11-17,未接触,建設コンサル
B,株式会社 朝日設計事務所,株式会社 朝日設計事務所,"商談あり（ステージ: None, 未受注）",1,0,,2025-12-02,未接触,"測量会社, 建設コンサル"
B,株式会社 東光測量設計事務所,株式会社 東光測量設計事務所,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-03-06,未接触,測量会社
B,株式会社 東海建設コンサルタント,株式会社 東海建設コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-09-29,未接触,"測量会社, 建設コンサル"
B,株式会社 松阪コンサルタント,株式会社 松阪コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-06,未接触,"測量会社, 建設コンサル"
B,株式会社 梶川土木コンサルタント,株式会社 梶川土木コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-01-15,未接触,"測量会社, 建設コンサル"
B,株式会社 興栄コンサルタント,株式会社 興栄コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-13,未接触,測量会社
B,株式会社 若鈴,株式会社 若鈴,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-17,未接触,"測量会社, 建設コンサル"
B,株式会社 見取コンサルタント,株式会社 見取コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-03-10,未接触,"測量会社, 建設コンサル"
B,矢作建設工業 株式会社,矢作建設工業 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-10-08,未接触,建設コンサル
B,福道建設 株式会社,福道建設 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-27,未接触,測量会社
B,葵コンサルタント 株式会社,葵コンサルタント 株式会社,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-02-20,未接触,"測量会社, 建設コンサル"
B,日本通運株式会社,日本通運株式会社,"商談あり（ステージ: ヒアリング, 未受注）",4,0,,2026-02-12,見込み,
B,NX商事株式会社,NX商事株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-01-07,見込み,
B,西尾レントオール三重営業所,西尾レントオール三重営業所,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-12-26,見込み,
B,有限会社トプラス,有限会社トプラス,"商談あり（ステージ: リード獲得, 未受注）",2,0,,2026-01-30,見込み,
B,株式会社 院南組,株式会社 院南組,"商談あり（ステージ: リード獲得, 未受注）",2,0,,2025-12-12,見込み,
B,株式会社 杉本組,株式会社 杉本組,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-12-12,見込み,
B,朝日土木株式会社,朝日土木株式会社,"商談あり（ステージ: ヒアリング, 未受注）",3,0,,2026-03-10,見込み,
B,株式会社カナモト,株式会社カナモト,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-02-12,見込み,
B,コベルコ建機日本株式会社,コベルコ建機日本株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-12-11,見込み,
B,太陽建機レンタル株式会社,太陽建機レンタル株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-03-10,見込み,
B,住友建機販売株式会社,住友建機販売株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-12-11,見込み,
B,林建設株式会社,林建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-08,見込み,
B,株式会社山口土木,株式会社山口土木,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-08,見込み,
B,小原建設株式会社,小原建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-08,見込み,
B,角文株式会社,角文株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-12-08,見込み,
B,株式会社平成建設,株式会社平成建設,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-08,見込み,
B,安山建設株式会社,安山建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-08,見込み,
B,ミライリスホールディングス株式会社（松岡建機）,ミライリスホールディングス株式会社（松岡建機）,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-05,見込み,
B,株式会社日建技術コンサルタント,株式会社日建技術コンサルタント,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-05,見込み,
B,株式会社アルファー,株式会社アルファー,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-05,見込み,
B,中央産商株式会社 中河原営業所,中央産商株式会社 中河原営業所,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-05,見込み,
B,中央産商株式会社 本社,中央産商株式会社 本社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-05,見込み,
B,松阪興産株式会社,松阪興産株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-12-05,見込み,
B,株式会社北村組,株式会社北村組,"商談あり（ステージ: リード獲得, 未受注）",6,0,,2026-02-13,見込み,
B,株式会社キナンICT事業部,株式会社キナンICT事業部,"商談あり（ステージ: リード獲得, 未受注）",3,0,,2026-03-06,見込み,
B,株式会社キナン津営業所,株式会社キナン津営業所,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-12-05,見込み,
B,株式会社ビジュアルシステムズ,株式会社ビジュアルシステムズ,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-12-02,見込み,
B,株式会社ダイセン,株式会社ダイセン,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-14,見込み,
B,協和調査設計株式会社,協和調査設計株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-17,見込み,
B,松尾建設株式会社,松尾建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-25,見込み,
B,株式会社整備工場東海,株式会社整備工場東海,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-28,見込み,
B,株式会社久志本組,株式会社久志本組,"商談あり（ステージ: リード獲得, 未受注）",2,0,,2026-01-23,見込み,
B,信藤建設株式会社,信藤建設株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-28,見込み,
B,サンコーテック株式会社,サンコーテック株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-28,見込み,
B,株式会社冨田土木,株式会社冨田土木,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-25,見込み,
B,高昇建業,高昇建業,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-25,見込み,
B,三有技建,三有技建,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-25,見込み,
B,株式会社takac,株式会社takac,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-21,見込み,
B,丸亀産業株式会社,丸亀産業株式会社,"商談あり（ステージ: リード獲得, 未受注）",2,0,,2026-02-13,見込み,
B,TSUCHIYA CORPORATION,TSUCHIYA CORPORATION,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-20,見込み,
B,太榮コンサルタンツ株式会社,太榮コンサルタンツ株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-20,見込み,
B,株式会社平成建設ドローンリサーチ,株式会社平成建設ドローンリサーチ,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-17,見込み,
B,株式会社サンキ,株式会社サンキ,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-02-17,見込み,
B,株式会社野名組砕石,株式会社野名組砕石,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-14,見込み,
B,鶴田石材株式会社,鶴田石材株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-14,見込み,
B,株式会社キムラ,株式会社キムラ,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-14,見込み,
B,丸上建設,丸上建設,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-11,見込み,
B,毛受建材,毛受建材,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-11,見込み,
B,沖土木建設株式会社,沖土木建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-11,見込み,
B,有限会社吉田建材,有限会社吉田建材,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-11,見込み,
B,株式会社オオバ 名古屋支店,株式会社オオバ 名古屋支店,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-06,見込み,
B,株式会社 インシーク三重営業所,株式会社 インシーク三重営業所,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-06,見込み,
B,株式会社パスコ 三重支店,株式会社パスコ 三重支店,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-06,見込み,
B,国際航業株式会社三重営業所,国際航業株式会社三重営業所,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-11-06,見込み,
B,太啓建設株式会社,太啓建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-31,見込み,
B,有限会社 小林組,有限会社 小林組,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-31,見込み,
B,大平工業株式会社,大平工業株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-31,見込み,
B,株式会社 三和工務店,株式会社 三和工務店,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-10-31,見込み,
B,大平産業株式会社,大平産業株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-10-31,見込み,
B,株式会社ガイアート,株式会社ガイアート,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-24,見込み,
B,中部コールセンター株式会社,中部コールセンター株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-10-24,見込み,
B,高砂建設株式会社,高砂建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-24,見込み,
B,東邦池水株式会社,東邦池水株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-24,見込み,
B,大有コンクリート工業 猿投工場,大有コンクリート工業 猿投工場,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-20,見込み,
B,豊田鉱産株式会社,豊田鉱産株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-20,見込み,
B,矢野建設株式会社,矢野建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",3,0,,2025-10-20,見込み,
B,株式会社松尾グロッサ,株式会社松尾グロッサ,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-20,見込み,
B,三和建設,三和建設,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-14,見込み,
B,新陽工業,新陽工業,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-10-09,見込み,
B,株式会社ナガシマ,株式会社ナガシマ,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-09,見込み,
B,青木あすなろ、松岡特定建設共同体,青木あすなろ、松岡特定建設共同体,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-10-09,見込み,
B,愛幸建設,愛幸建設,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-09,見込み,
B,青木あすなろ・松岡特定建設工事共同事業体,青木あすなろ・松岡特定建設工事共同事業体,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-08,見込み,
B,大林組,大林組,"商談あり（ステージ: ヒアリング, 未受注）",9,0,,2025-10-08,見込み,
B,相澤建設株式会社,相澤建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-07,見込み,
B,音羽開発株式会社,音羽開発株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-07,見込み,
B,鹿島・竹中・朝日阿知和工業団地JV,鹿島・竹中・朝日阿知和工業団地JV,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-07,見込み,
B,山﨑建設株式会社,山﨑建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-07,見込み,
B,清水土建,清水土建,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-07,見込み,
B,三重農林建設株式会社,三重農林建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-02,見込み,
B,株式会社フソウ,株式会社フソウ,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-02,見込み,
B,昭和コンクリート株式会社,昭和コンクリート株式会社,"商談あり（ステージ: リード獲得, 未受注）",2,0,,2026-02-06,見込み,
B,株式会社 横河ブリッジ,株式会社 横河ブリッジ,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-10-02,見込み,
B,銭高組,銭高組,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-02,見込み,
B,日本国土開発株式会社 名古屋支店,日本国土開発株式会社 名古屋支店,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-02,見込み,
B,鴻池組,鴻池組,"商談あり（ステージ: リード獲得, 未受注）",3,0,,2025-10-02,見込み,
B,西松建設株式会社,西松建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-10-02,見込み,
B,生川建設株式会社,生川建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",3,0,,2026-03-10,見込み,
B,株式会社丸中組,株式会社丸中組,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-30,見込み,
B,大和ハウス工業,大和ハウス工業,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-30,見込み,
B,株式会社長瀬組,株式会社長瀬組,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-30,見込み,
B,矢作建築,矢作建築,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-29,見込み,
B,鹿島建設,鹿島建設,"商談あり（ステージ: ヒアリング, 未受注）",3,0,,2026-02-06,見込み,
B,大日本土木株式会社,大日本土木株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-09-29,見込み,
B,株式会社CVC,株式会社CVC,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-29,見込み,
B,三井住友建設株式会社,三井住友建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-29,見込み,
B,株式会社きんでん,株式会社きんでん,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-26,見込み,
B,JFEエンジニアリング株式会社,JFEエンジニアリング株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-09-26,見込み,
B,株式会社明正,株式会社明正,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-16,見込み,
B,不動建設株式会社,不動建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-03-03,見込み,
B,真柄建設,真柄建設,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-09-16,見込み,
B,株式会社藤井建設,株式会社藤井建設,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-09-12,見込み,
B,小塚装備,小塚装備,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-12,見込み,
B,徳倉建設,徳倉建設,"商談あり（ステージ: ヒアリング, 未受注）",4,0,,2026-03-12,見込み,
B,加藤・花井・河村JV,加藤・花井・河村JV,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-12,見込み,
B,伊藤工務店,伊藤工務店,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-12,見込み,
B,有限会社 安立塗装,有限会社 安立塗装,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-09-12,見込み,
B,日東建設,日東建設,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-09-09,見込み,
B,服部工務店,服部工務店,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-09,見込み,
B,大和リース株式会社,大和リース株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-09,見込み,
B,成川建設,成川建設,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-09-09,見込み,
B,タイガーハウス工業株式会社,タイガーハウス工業株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-02,見込み,
B,ショーボンド建設株式会社,ショーボンド建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-02,見込み,
B,戸田建設,戸田建設,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-02,見込み,
B,株式会社 宮本組,株式会社 宮本組,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-09-02,見込み,
B,吉川建設株式会社,吉川建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-02,見込み,
B,アイトム建設,アイトム建設,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-09-02,見込み,
B,朝日工業株式会社,朝日工業株式会社,"商談あり（ステージ: リード獲得, 未受注）",2,0,,2026-02-26,見込み,
B,昱耕機株式会社,昱耕機株式会社,"商談あり（ステージ: リード獲得, 未受注）",1,0,,2025-08-29,見込み,
B,髙田建設株式会社,髙田建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2026-01-29,見込み,
B,メタウォーター株式会社,メタウォーター株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-29,見込み,
B,大宗建設株式会社,大宗建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",2,0,,2025-08-29,見込み,
B,ニッセツ株式会社,ニッセツ株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-29,見込み,
B,杉本組、サンリツ工業,杉本組、サンリツ工業,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-29,見込み,
B,IHIインフラシステム,IHIインフラシステム,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-26,見込み,
B,中日建設株式会社,中日建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-26,見込み,
B,五洋建設,五洋建設,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-26,見込み,
B,若築建設株式会社,若築建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-22,見込み,
B,富山建設株式会社,富山建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-22,見込み,
B,鈴中工業,鈴中工業,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-22,見込み,
B,五洋建設株式会社名古屋支店,五洋建設株式会社名古屋支店,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-22,見込み,
B,大豊建設株式会社,大豊建設株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-19,見込み,
B,株式会社原田工務店,株式会社原田工務店,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-19,見込み,
B,HONJO株式会社,HONJO株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-08-19,見込み,
